racine,forme,traduction,nom_categ,nom_type
kacang,,cacahuète,"Fruits, Légumes & Boissons",Nom
kaget,,surpris,États physiques & émotionnels,Adjectif
kakak,,grand frère / grande sœur,Famille & Personnes,Nom
kakek,,grand-père,Famille & Personnes,Nom
kaki,,pied / jambe,Corps & Sens,Nom
kalau,jika,si,Connecteurs & Liaison,Mot-outil
kamar,,chambre,Maison & Vie pratique,Nom
Kamis,,jeudi,"Nature, Météo & Temps",Nom
kantor,,bureau,Ville & Lieux,Nom
kaos,,t-shirt,Vêtements & Accessoires,Nom
kapan,,quand,Mots interrogatifs,Mot-outil
karena,,parce que,Connecteurs & Liaison,Mot-outil
ke mana,,où (direction),Mots interrogatifs,Mot-outil
kecil,,petit,Taille & Dimensions,Adjectif
keju,,fromage,Plats & Saveurs,Nom
keluar,keluar / mengeluarkan,sortir / sortir quelque chose,Déplacement,Verbe
keluarga,,famille,Famille & Personnes,Nom
kemarau,,saison sèche,"Nature, Météo & Temps",Nom
kemarin,,hier,"Nature, Météo & Temps",Nom
kemarin lusa,,avant-hier,"Nature, Météo & Temps",Nom
kembalian,,monnaie rendue,Commerce & Argent,Nom
kenapa,mengapa,pourquoi,Mots interrogatifs,Mot-outil
kentang,,pomme de terre,"Fruits, Légumes & Boissons",Nom
kenyang,,rassasié,États physiques & émotionnels,Adjectif
kepala,,tête,Corps & Sens,Nom
keras,,dur,Qualité générale & Jugement,Adjectif
keras kepala,,têtu,Traits de personnalité,Adjectif
keren,,"cool, classe",Traits de personnalité,Adjectif
kering,,sec,Qualité générale & Jugement,Adjectif
kerja,kerja / bekerja / mengerjakan,travailler / faire un travail,"Travail, Études & École",Verbe
kerjaan,pekerjaan,boulot,"Travail, Études & École",Nom
kertas,,papier,"Travail, Études & École",Nom
kirim,mengirim / dikirim / kiriman,envoyer / être envoyé / envoi,Commerce & Argent,Verbe
kopi,,café,"Fruits, Légumes & Boissons",Nom
kosong,,vide,Taille & Dimensions,Adjectif
kota,,ville,Ville & Lieux,Nom
kotor,,sale,Qualité générale & Jugement,Adjectif
kuat,,fort / solide,Qualité générale & Jugement,Adjectif
kubis,,chou,"Fruits, Légumes & Boissons",Nom
kue,,"gâteau, pâtisserie",Plats & Saveurs,Nom
kulkas,,frigo,Maison & Vie pratique,Nom
kunci,,clé,Maison & Vie pratique,Nom
kuning,,jaune,Couleurs,Adjectif
kursi,,chaise,Maison & Vie pratique,Nom
labu,,courge / citrouille,"Fruits, Légumes & Boissons",Nom
lalu,,"dernier, passé / ensuite, puis (récit)","Nature, Météo & Temps",Nom
lama,,"ancien, qui dure longtemps",Qualité générale & Jugement,Adjectif
lambat,,lent,Qualité générale & Jugement,Adjectif
lampu,,lampe,Maison & Vie pratique,Nom
langit,,ciel,"Nature, Météo & Temps",Nom
lapar,,affamé,États physiques & émotionnels,Adjectif
lari,lari / berlari,courir,Déplacement,Verbe
laut,,mer,"Nature, Météo & Temps",Nom
lebay,,exagéré,Traits de personnalité,Adjectif
lemah,,faible,Qualité générale & Jugement,Adjectif
lembut,,doux / tendre,Qualité générale & Jugement,Adjectif
lesung pipi,,fossette,Corps & Sens,Nom
lewat,lewat / melewati,passer / passer par,Déplacement,Verbe
libur,,vacances / jour de congé,"Nature, Météo & Temps",Nom
lihat,lihat / melihat / terlihat,voir / visible (état),Corps & Sens,Verbe
lobak,,radis,"Fruits, Légumes & Boissons",Nom
luas,,spacieux,Taille & Dimensions,Adjectif
lucu,,mignon / drôle,Traits de personnalité,Adjectif
lupa,lupa / melupakan,oublier / oublier volontairement,Mental & Cognition,Verbe
lusa,,après-demain,"Nature, Météo & Temps",Nom
maaf,memaafkan / dimaafkan,pardonner / être pardonné,Émotions & Relations,Verbe
mabuk,,ivre / malade en transport,États physiques & émotionnels,Adjectif
mahal,,cher,Qualité générale & Jugement,Adjectif
makan,makan / memakan,manger,Routine quotidienne,Verbe
malas,,paresseux,Traits de personnalité,Adjectif
mama,,maman,Famille & Personnes,Nom
mandi,mandi / memandikan,se laver (le corps) / donner un bain à qqn,Routine quotidienne,Verbe
manis,,sucré,Plats & Saveurs,Adjectif
manja,,"capricieux, chouchouté",Traits de personnalité,Adjectif
masak,masak / memasak / dimasak,cuisiner / être cuisiné,Maison & Vie pratique,Verbe
masuk,masuk / memasuki / memasukkan,entrer / entrer dans / mettre dedans,Déplacement,Verbe
mata,,œil,Corps & Sens,Nom
matahari,,soleil,"Nature, Météo & Temps",Nom
matiin,matiin / dimatikan,éteindre / être éteint,Maison & Vie pratique,Verbe
mau,mau / ingin,vouloir (informel) / vouloir (formel),Mental & Cognition,Verbe
meja,,table,Maison & Vie pratique,Nom
menantu,,gendre / belle-fille,Famille & Personnes,Nom
mengerti,mengerti / dimengerti / pengertian,comprendre / être compris / compréhension,Mental & Cognition,Verbe
menit,,minute,"Nature, Météo & Temps",Nom
mentega,,beurre,Plats & Saveurs,Nom
merah,,rouge,Couleurs,Adjectif
merica,,poivre,Plats & Saveurs,Nom
mertua,,beaux-parents,Famille & Personnes,Nom
mie,,nouilles,Plats & Saveurs,Nom
minggu,,semaine,"Nature, Météo & Temps",Nom
Minggu,,dimanche (avec majuscule !),"Nature, Météo & Temps",Nom
minta,meminta / diminta / permintaan,"demander, réclamer (une chose) / être demandé / demande",Communication,Verbe
minum,minum / meminum,boire,Routine quotidienne,Verbe
minyak,,huile,Plats & Saveurs,Nom
muda,,jeune,Qualité générale & Jugement,Adjectif
mulai,mulai / memulai / dimulai,commencer / débuter qqch / être commencé,"Travail, Études & École",Verbe
mulut,,bouche,Corps & Sens,Nom
murah,,pas cher,Qualité générale & Jugement,Adjectif
musim,,saison,"Nature, Météo & Temps",Nom
naik,naik / menaiki / menaikkan,monter / monter dans / faire monter,Déplacement,Verbe
nangis,nangis / tangisan,pleurer / des pleurs,Émotions & Relations,Verbe
nasi,,riz,Plats & Saveurs,Nom
nenek,,grand-mère,Famille & Personnes,Nom
ngantuk,,somnolent,États physiques & émotionnels,Adjectif
norak,,"ringard, tape-à-l'œil",Traits de personnalité,Adjectif
nyalain,nyalain / dinyalakan,allumer / être allumé,Maison & Vie pratique,Verbe
nyebelin,,énervant,Traits de personnalité,Adjectif
nyetir,nyetir / disetir,conduire / être conduit,Déplacement,Verbe
ombak,,vague,"Nature, Météo & Temps",Nom
orang tua,,parents,Famille & Personnes,Nom
oranye,,orange,Couleurs,Adjectif
pacar,,copain / copine,Famille & Personnes,Nom
pahit,,amer,Plats & Saveurs,Adjectif
pakai,memakai / dipakai / pemakaian,"porter (vêtement), utiliser / être utilisé",Routine quotidienne,Verbe
paman,,oncle,Famille & Personnes,Nom
panas,,chaud,Qualité générale & Jugement,Adjectif
panggil,memanggil / dipanggil / panggilan,"appeler qqn, héler / être appelé / appel, surNom",Communication,Verbe
panjang,,long,Taille & Dimensions,Adjectif
parkir,parkir / memarkir / diparkir,se garer / garer / être garé,Déplacement,Verbe
pasar,,marché,Ville & Lieux,Nom
pasir,,sable,"Nature, Météo & Temps",Nom
pedas,,épicé,Plats & Saveurs,Adjectif
pede,percaya diri,confiant en soi,Traits de personnalité,Adjectif
pegang,memegang / dipegang,"tenir, saisir / être tenu",Corps & Sens,Verbe
pelit,,radin,Traits de personnalité,Adjectif
pendek,,court / petit (taille),Taille & Dimensions,Adjectif
pensil,,crayon,"Travail, Études & École",Nom
penting,,important,Qualité générale & Jugement,Adjectif
penuh,,plein,Taille & Dimensions,Adjectif
perak,,argenté,Couleurs,Adjectif
perbaiki,memperbaiki / diperbaiki / perbaikan,réparer / être réparé / réparation,Maison & Vie pratique,Verbe
percaya,percaya / mempercayai / kepercayaan,"croire, faire confiance / confiance",Émotions & Relations,Verbe
pergi,pergi,"aller, partir",Déplacement,Verbe
perut,,ventre,Corps & Sens,Nom
pesan,memesan / dipesan / pesanan,commander (repas/produit) / être commandé / commande,Commerce & Argent,Verbe
pikir,berpikir / memikirkan,penser / penser à qqch,Mental & Cognition,Verbe
pilih,memilih / dipilih / pilihan,choisir / être choisi / choix,"Travail, Études & École",Verbe
pinjam,meminjam / meminjamkan / dipinjam,emprunter / prêter / être emprunté,Commerce & Argent,Verbe
pink,merah muda,rose,Couleurs,Adjectif
pintar,,intelligent,Traits de personnalité,Adjectif
pintu,,porte,Maison & Vie pratique,Nom
piring,,assiette,Maison & Vie pratique,Nom
pisang,,banane,"Fruits, Légumes & Boissons",Nom
pisau,,couteau,Maison & Vie pratique,Nom
pohon,,arbre,"Nature, Météo & Temps",Nom
pulang,pulang / memulangkan,rentrer (chez soi) / renvoyer qqn,Déplacement,Verbe
pusing,,"tête qui tourne, migraine",États physiques & émotionnels,Adjectif
putih,,blanc,Couleurs,Adjectif
Rabu,,mercredi,"Nature, Météo & Temps",Nom
rajin,,"travailleur, assidu",Traits de personnalité,Adjectif
ramah,,"accueillant, sympa",Traits de personnalité,Adjectif
ramai,,"animé, bondé",Qualité générale & Jugement,Adjectif
rambut,,cheveux,Corps & Sens,Nom
rapi,,"rangé, net",Qualité générale & Jugement,Adjectif
rasa,rasa / merasakan / terasa,"ressentir, goûter",Corps & Sens,Verbe
rindu,rindu / merindukan,manquer / ressentir l'absence de,Émotions & Relations,Verbe
ringan,,léger,Taille & Dimensions,Adjectif
rok,,jupe,Vêtements & Accessoires,Nom
roti,,pain,Plats & Saveurs,Nom
rumah,,maison,Maison & Vie pratique,Nom
rumah sakit,,hôpital,Ville & Lieux,Nom
saat,,"moment, instant","Nature, Météo & Temps",Nom
sabar,,patient,Traits de personnalité,Adjectif
Sabtu,,samedi,"Nature, Météo & Temps",Nom
sabun,,savon,Maison & Vie pratique,Nom
sakit,,mal / malade,États physiques & émotionnels,Adjectif
sambal,,sauce piquante,Plats & Saveurs,Nom
sampai,sampai / menyampaikan,arriver / transmettre un message,Déplacement,Verbe
sapa,menyapa / disapa,saluer qqn / être salué,Communication,Verbe
saran,menyarankan / disarankan,conseiller / être conseillé,Communication,Verbe
sarapan,,petit-déjeuner,Plats & Saveurs,Nom
sayang,menyayangi / disayangi / sayang,chérir / être chéri / affection,Émotions & Relations,Verbe
sayur,,légume,"Fruits, Légumes & Boissons",Nom
sedih,sedih / menyedihkan,être triste / être triste (chose),Émotions & Relations,Verbe
sehat,,en forme,États physiques & émotionnels,Adjectif
sekarang,,maintenant,"Nature, Météo & Temps",Nom
sekolah,,école,Ville & Lieux,Nom
selai,,confiture,Plats & Saveurs,Nom
Selasa,,mardi,"Nature, Météo & Temps",Nom
selesai,selesai / menyelesaikan / diselesaikan,terminer / finir qqch / être terminé,"Travail, Études & École",Verbe
selimut,,couverture,Maison & Vie pratique,Nom
sempit,,étroit,Taille & Dimensions,Adjectif
senang,senang / menyenangkan,être content / agréable,Émotions & Relations,Verbe
Senin,,lundi,"Nature, Météo & Temps",Nom
sentuh,menyentuh / disentuh / tersentuh,toucher / être touché / être ému,Corps & Sens,Verbe
senyum,tersenyum / senyuman,sourire / un sourire,Émotions & Relations,Verbe
sepatu,,chaussures,Vêtements & Accessoires,Nom
sepi,,"calme, désert",Qualité générale & Jugement,Adjectif
setia,,fidèle,Traits de personnalité,Adjectif
setuju,setuju / menyetujui / persetujuan,être d'accord / approuver / accord,Communication,Verbe
siapa,,qui,Mots interrogatifs,Mot-outil
sikat,menyikat / sikat gigi,brosser / se brosser les dents,Routine quotidienne,Verbe
sombong,,arrogant,Traits de personnalité,Adjectif
songong,,prétentieux,Traits de personnalité,Adjectif
stasiun,,gare,Ville & Lieux,Nom
stres,,stressé,États physiques & émotionnels,Adjectif
stroberi,,fraise,"Fruits, Légumes & Boissons",Nom
struk,,ticket de caisse,Commerce & Argent,Nom
suami,,mari,Famille & Personnes,Nom
suka,suka / menyukai,aimer (qqch) / apprécier,Émotions & Relations,Verbe
sup,,soupe,Plats & Saveurs,Nom
susah,,difficile,Qualité générale & Jugement,Adjectif
susu,,lait,"Fruits, Légumes & Boissons",Nom
tahu,tahu / mengetahui / memberitahu,savoir / connaître / informer,Mental & Cognition,Verbe
tahu,,tofu,Plats & Saveurs,Nom
tahun,,année,"Nature, Météo & Temps",Nom
takut,takut / menakutkan / ketakutan,avoir peur / effrayant / peur (état),Émotions & Relations,Verbe
tangan,,main,Corps & Sens,Nom
tanpa,,sans,Connecteurs & Liaison,Mot-outil
tante,,tante,Famille & Personnes,Nom
tanya,bertanya / menanyakan,poser une question / demander qqch à qqn,Communication,Verbe
tapi,tetapi,mais,Connecteurs & Liaison,Mot-outil
taruh,menaruh / ditaruh,"poser, mettre / être posé",Maison & Vie pratique,Verbe
tas,,sac,Vêtements & Accessoires,Nom
tawar,menawar / ditawar / tawaran,négocier le prix / être négocié / offre,Commerce & Argent,Verbe
tebal,,épais,Taille & Dimensions,Adjectif
teh,,thé,"Fruits, Légumes & Boissons",Nom
telepon,menelepon / ditelepon,téléphoner,Communication,Verbe
telinga,,oreille,Corps & Sens,Nom
telur,,œuf,Plats & Saveurs,Nom
teman,,ami,Famille & Personnes,Nom
temu,bertemu,rencontrer,Émotions & Relations,Verbe
temukan,menemukan / ditemukan / penemuan,trouver / être trouvé / découverte,"Travail, Études & École",Verbe
terbang,terbang / menerbangkan,voler (avion) / faire voler,Déplacement,Verbe
tertawa,tertawa / menertawakan,rire / rire de qqn,Émotions & Relations,Verbe
terung,,aubergine,"Fruits, Légumes & Boissons",Nom
tidur,tidur / tertidur,dormir / s'endormir (accidentel),Routine quotidienne,Verbe
tinggi,,haut / grand (taille),Taille & Dimensions,Adjectif
tipis,,fin / mince,Taille & Dimensions,Adjectif
toko,,magasin,Ville & Lieux,Nom
topi,,chapeau,Vêtements & Accessoires,Nom
tua,,"âgé, vieux (personne)",Qualité générale & Jugement,Adjectif
tugas,,devoir / tâche,"Travail, Études & École",Nom
tulis,menulis / ditulis / tulisan / penulis,écrire / être écrit / un écrit / écrivain,Communication,Verbe
turun,turun / menurunkan,descendre / faire descendre,Déplacement,Verbe
tutup,menutup / ditutup / tertutup,fermer / être fermé / fermé (état),Maison & Vie pratique,Verbe
undang,mengundang / diundang / undangan,inviter / être invité / invitation,Communication,Verbe
ungu,,violet,Couleurs,Adjectif
wajan,,poêle,Maison & Vie pratique,Nom
waktu,,temps,"Nature, Météo & Temps",Nom
wortel,,carotte,"Fruits, Légumes & Boissons",Nom
